ID;JOUR;DEBUT;FIN;GRADE;DIPLOME;SEMESTRE;TYPE_RESA;INTITULE_EC;BATIMENT;SALLE;COMMENTAIRE
689977;05/12/2016;07:30;09:00;L1;GESTION;1;Examen;INTRODUCTION  A LA GESTION;A;AMPHIA2;INTRO A LA GESTION-CONTROLE CONTINU ASSISDUS ET DI
689977;05/12/2016;07:30;09:00;L1;GESTION;1;Examen;INTRODUCTION  A LA GESTION;A;AMPHIA1;INTRO A LA GESTION-CONTROLE CONTINU ASSISDUS ET DI
692793;06/12/2016;07:30;09:00;L1;PC;5;Examen;Spectroscopie;E;E3-2EQ;Examen
692794;07/12/2016;07:30;09:00;L1;PC;5;Examen;Chimie Organique 4;E;E3-2EQ;Examen
692934;05/12/2016;08:00;09:00;M2;PIF;3;Examen;LVE ANGLAIS;IUB;IUFM_B02;CC2 +ETUniquement les étudiants inscrits en sept
693629;05/12/2016;08:00;09:00;M2;PAPC1;3;Examen;CDPC1 (1)-EPS;IUB;IUFM_B26;CC +ET
693629;05/12/2016;08:00;09:00;M2;PAPC1;3;Examen;CDPC1 (1)-EPS;IUB;IUFM_B21;CC +ET
693629;05/12/2016;08:00;09:00;M2;MEEF Primaire;3;Examen;CDPC1 (1)-EPS;IUB;IUFM_B26;CC +ET
693629;05/12/2016;08:00;09:00;M2;MEEF Primaire;3;Examen;CDPC1 (1)-EPS;IUB;IUFM_B21;CC +ET
694048;08/12/2016;07:30;09:00;L1;INFO;1;Examen;Echelles du vivant;A;AMPHIA3;ECHELLES DU VIVANT S1 CC + ET
694048;08/12/2016;07:30;09:00;L1;MATHS;1;Examen;Echelles du vivant;A;AMPHIA3;ECHELLES DU VIVANT S1 CC + ET
694048;08/12/2016;07:30;09:00;L1;SVT;1;Examen;Echelles du vivant;A;AMPHIA3;ECHELLES DU VIVANT S1 CC + ET
694048;08/12/2016;07:30;09:00;L1;PC;1;Examen;Echelles du vivant;A;AMPHIA3;ECHELLES DU VIVANT S1 CC + ET
696572;06/12/2016;07:30;09:00;L1;GESTION;3;Examen;ANGLAIS 3;G;G3-2EQCL;L2EG: ET - Uniquement les dispensés
700462;05/12/2016;07:30;09:00;L1;PC;5;Examen;Chimie Physique ;E;E3-2EQ;UNIQUEMENT NON ASSIDUS
714672;07/12/2016;08:00;09:00;M2;Tahitien-Lettres;1;Examen;LVE ANGLAIS;IUA;TP1;CC+ET
714672;07/12/2016;08:00;09:00;M2;P2D;3;Examen;LVE ANGLAIS;IUA;TP1;CC+ET
714672;07/12/2016;08:00;09:00;M2;PAPC2;3;Examen;LVE ANGLAIS;IUA;TP1;CC+ET
714672;07/12/2016;08:00;09:00;DU0;TRONC COMMUN MEEF2;1;Examen;LVE ANGLAIS;IUA;TP1;CC+ET
692642;07/12/2016;07:30;09:30;L1;GESTION;1;Examen;INTRODUCTION A L ECONOMIE;A;AMPHIA1;L1EG: CONTROLE CONTINU ASSIDUS (1h) ET DISPENSES (
692642;07/12/2016;07:30;09:30;L1;GESTION;1;Examen;INTRODUCTION A L ECONOMIE;A;AMPHIA3;L1EG: CONTROLE CONTINU ASSIDUS (1h) ET DISPENSES (
693744;08/12/2016;08:00;09:30;M2;MEEF 4;3;Examen;PEDAGOGIE DES ADULTES (1);IUB;IUFM_B13;ET des dispensés d'assiduité
693744;08/12/2016;08:00;09:30;M2;PIF;3;Examen;PEDAGOGIE DES ADULTES (1);IUB;IUFM_B13;ET des dispensés d'assiduité
694783;05/01/2017;08:00;09:30;L1;PC;5;Examen;Electricité Electronique 5;B;B1-1;uniquement dispensé Electricité électronique 5
694785;06/01/2017;08:00;09:30;L1;PC;5;Examen;Informatique pour les Sciences Physiques 2;B;B1-2-TP;uniquement dispensé info pours sp 2 S5
694827;15/11/2016;07:30;09:30;M2;EIO;3;Examen;Substances naturelles marines;B;B1-1;Examen
702117;07/12/2016;08:00;09:30;M2;MANAGEMENT;1;Examen;ANGLAIS;G;G3-3EQ; M1 MGMT: ANGLAIS - ORALUNIQUEMENT LES DISPENSES
717738;21/04/2017;07:30;09:30;L1;HISTOIRE;4;Examen;Préparation au C2i;B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;LLCER;4;Examen;PREPARATION AU CERTIFICAT INFORMATIQUE ET INTERNET (C2i) S4;B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;LLCE;4;Examen;PREPARATION AU CERTIFICAT INFORMATIQUE ET INTERNET (C2i) S4;B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;GEOGRAPHIE ET AMENAGEMENT;4;Examen;Préparation au C2i;B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;LA;4;Examen;PREPARATION AU CERTIFICAT INFORMATIQUE ET INTERNET (C2i) S4;B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;DROIT;4;Examen;PREPARATION AU CERTIFICAT INOFRMATIQUE ET INTERNET (C2i);B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;LLCER;4;Examen;PREPARATION AU C2i;B;B2-4-TP;uniquement dispensés C2i S4
717738;21/04/2017;07:30;09:30;L1;LLCR;4;Examen;PREPARATION AU C2i;B;B2-4-TP;uniquement dispensés C2i S4
692897;09/12/2016;08:00;10:00;L1;LA;3;Examen;GRAMMAIRE S3;F;F1-1EQ;GRAMMAIRE S3 CC3 + ET
693379;08/12/2016;09:00;10:00;M2;MEEF Primaire;1;Examen;HISTOIRE-GEOGRAPHIE-EDUCATION MORALE & CIVIQUE;IUB;IUFM_B21;Examen
693379;08/12/2016;09:00;10:00;M2;MEEF Primaire;1;Examen;HISTOIRE-GEOGRAPHIE-EDUCATION MORALE & CIVIQUE;IUB;IUFM_B26;Examen
693379;08/12/2016;09:00;10:00;M2;PE;1;Examen;HISTOIRE-GEOGRAPHIE-EDUCATION MORALE & CIVIQUE;IUB;IUFM_B21;Examen
693379;08/12/2016;09:00;10:00;M2;PE;1;Examen;HISTOIRE-GEOGRAPHIE-EDUCATION MORALE & CIVIQUE;IUB;IUFM_B26;Examen
693457;18/11/2016;08:00;10:00;M2;EIO;3;Examen;Invasions biologiques dans les iles;B;B1-1;meyer
693820;05/12/2016;08:00;10:00;L1;SVT;5;Examen;Microbiologie;G;G1-1EQ;ASSIDUS ET NON ASSIDUS
693943;05/12/2016;09:00;10:00;M2;PIF;3;Examen;LVE ESPAGNOL;IUB;IUFM_B04;ET des assidus et des dispensés d'assiduité
694239;08/12/2016;08:00;10:00;L1;GESTION;3;Examen;MICROECONOMIE;A;AMPHIA1;L2EG: CONTROLE CONTINU ASSIDUS ET DISPENSES (1h30)
694798;10/04/2017;08:00;10:00;L1;DROIT;4;Examen;EXPRESSION ECRITE & CERTIFICATION VOLTAIRE - DROIT;A;AMPHIA2;Examen
695405;07/12/2016;08:00;10:00;L1;LLCER;1;Examen;LVE ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCE;5;Examen;LV ESPAGNOL 5 S5;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCR;1;Examen;LVE ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCER;5;Examen;LV ESPAGNOL 5 S5;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLF;1;Examen;LV ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;HISTOIRE;1;Examen;LVE ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCER;5;Examen;LVE ESPAGNOL S5;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LEA;1;Examen;LV ESPAGNOL 1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LA;5;Examen;LVE ESPAGNOL S5;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;GEOGRAPHIE ET AMENAGEMENT;1;Examen;LVE ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;;;;Examen;LV ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LA;1;Examen;LV ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCE;1;Examen;LV ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCER;1;Examen;LV ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCR;5;Examen;LVE ESPAGNOL S5;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695509;07/12/2016;08:00;10:00;L1;LLCR;5;Examen;LVE ANGLAIS S5;B;B1-1;Non assidus uniquement
695509;07/12/2016;08:00;10:00;L1;LLCER;5;Examen;LVE ANGLAIS S5;B;B1-1;Non assidus uniquement
696171;01/12/2016;08:00;10:00;L1;GESTION;1;Examen;INTRODUCTION HISTORIQUE AU DROIT, A L'ECONOMIE ET A LA GESTION;A;AMPHIA3;L1EG: CONTROLE CONTINU ASSIDUS ET DISPENSES (1H) -
