ID;JOUR;DEBUT;FIN;GRADE;DIPLOME;SEMESTRE;TYPE_RESA;INTITULE_EC;BATIMENT;SALLE;COMMENTAIRE
690432;01/12/2016;10:00;12:00;L1;LLCE;5;Examen;PRATIQUE DE LA LANGUE DE COMMUNICATION ORALE 5 S5;E;LABO-LV;UNIQUEMENT ETUDIANTS DISPENSES
691203;07/12/2016;10:30;12:30;L1;MATHS;1;Examen;Expression Ecrite et Orale;A;AMPHIA3;EXPRESSION ECRITE ET ORALE S1 L1 SCIENCES
694255;03/12/2016;09:00;11:00;L1;LEA;1;Examen;LV Mandarin 1;G;G1-1EQ;UNIQUEMENT DISPENSES G1-1 + G2-1 + G3-1
716259;20/04/2017;12:00;13:30;L1;LEA;6;Examen;UECG CHORALE CLASSIQUE - EC LIBRE;A;AMPHIA3;Examen
716259;20/04/2017;12:00;13:30;L1;HISTOIRE;6;Examen;UECG CHORALE CLASSIQUE - EC LIBRE;A;AMPHIA3;Examen
717719;27/04/2017;13:00;15:30;L1;LLCER;2;Examen;LVE ANGLAIS S2;G;G3-1EQCL;UNIQUEMENT DISPENSES LVE ANGLAIS + TIERS TEMPS EN 
715782;30/03/2017;13:00;15:00;L1;GEOGRAPHIE ET AMENAGEMENT;6;Examen;DANSE POLYNESIENNE -  EC LIBRE;A;AMPHIA3;Examen
691909;08/12/2016;09:00;12:00;L1;INFO;3;Examen;Programmation C Avancée;B;B2-4-TP;Examen
717778;19/04/2017;10:30;12:00;L1;LA;6;Examen;LANGUE ET CULTURE LATINES S6;B;B1-4EQ;CC2+ ET LANGUES ET CULTURES LATINES S6
716261;20/04/2017;14:00;16:30;L1;GEOGRAPHIE ET AMENAGEMENT;2;Examen;UECG THEATRE - EC LIBRE;A;AMPHIA3;Examen
716261;20/04/2017;14:00;16:30;L1;GEOGRAPHIE ET AMENAGEMENT;6;Examen;UECG THEATRE - EC LIBRE;A;AMPHIA3;Examen
706419;04/01/2017;16:00;19:00;M2;Droit;3;Examen;ANGLAIS;B;B1-1;Examen
712692;09/12/2016;10:30;12:30;L1;SVT;1;Examen;Mathématiques pour tous;A;AMPHIA3;Examen MATHS POUR TOUS S1
692544;06/01/2017;10:30;12:00;L1;PC;5;Examen;Mécanique 5;B;B1-1;uniquement dispenses
714969;08/12/2016;08:00;12:00;M2;PAPC2;3;Examen;CDPC2 (1)-LETTRES;IUA;TP1;CC+ ET assidus et dispensés d'assiduité LETTRES
714969;08/12/2016;08:00;12:00;M2;MEEF Secondaire;3;Examen;CDPC2 (1)-LETTRES;IUA;TP1;CC+ ET assidus et dispensés d'assiduité LETTRES
692063;09/12/2016;16:30;19:30;;;;Examen;DROIT PENAL DES AFFAIRES;G;G3-1EQCL;M1 DAE: ET ASSUDS + DISPENSES
702118;07/12/2016;10:00;11:00;M2;MANAGEMENT;3;Examen;ANGLAIS;G;G3-3EQ;M2 Management - ORALUniquement les dispensés
693096;23/11/2016;10:30;12:00;L1;DROIT;5;Examen;DROIT INTERNATIONAL PUBLIC;A;AMPHIA2;Examen Anticipé  ASSIDUS + DISPENSES
690608;30/11/2016;13:00;15:00;;;;Examen;LANGUE FRANCAISE  S1;G;G3-1EQCL;LANGUE FRANçAISE UNIQUEMENT NON ASSIDUS
690608;30/11/2016;13:00;15:00;L1;LA;1;Examen;LANGUE FRANCAISE  S1;G;G3-1EQCL;LANGUE FRANçAISE UNIQUEMENT NON ASSIDUS
692684;07/12/2016;13:00;14:30;M2;Tahitien-Lettres;1;Examen;STAGE D'OBSERVATION ET DE PRATIQUE ACCOMPAGNEE (1);IUB;IUFM_B11;ET dispensés d'assiduitéSalle de préparation B 1
717724;26/04/2017;13:00;15:00;L1;LLCR;4;Examen;LVE ESPAGNOL S4;G;G1-1EQ;UNIQUEMENT DISPENSES LVE ESPAGNOL S4
695524;02/12/2016;08:30;10:30;L1;LLCER;1;Examen;LANGUES ET CULTURES POLYNESIENNES S1;G;G3-1EQCL;UNIQUEMENT DISPENSES
695524;02/12/2016;08:30;10:30;L1;GEOGRAPHIE ET AMENAGEMENT;1;Examen;Langues et cultures polynésiennes;G;G3-1EQCL;UNIQUEMENT DISPENSES
689851;10/11/2016;11:00;12:30;L1;LA;3;Examen;PLURILINGUISME ET APPRENTISSAGE DES LANGUES S3;G;G3-1EQCL;Examen
692894;05/12/2016;13:00;17:00;L1;LA;3;Examen;METHODOLOGIE LITTERAIRE S3;A;A3-1EQ;METHO LITTERAIRE S3
717708;27/04/2017;13:00;15:00;L1;GEOGRAPHIE ET AMENAGEMENT;2;Examen;LVE ESPAGNOL S2;G;G1-1EQ;UNIQUEMENT DISPENSES LVE ESPAGNOL S2
692892;09/12/2016;10:00;12:00;L1;LA;1;Examen;GRAMMAIRE S1;E;E1-1EQCL;GRAMMAIRE S1
695405;07/12/2016;08:00;10:00;L1;LLCER;1;Examen;LVE ESPAGNOL S1;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
695405;07/12/2016;08:00;10:00;L1;LLCE;5;Examen;LV ESPAGNOL 5 S5;G;G3-1EQCL;UNIQUEMENT ETUDIANTS DISPENSES LVE ESPAGNOL S5
696570;07/12/2016;08:00;10:00;L1;LLCR;1;Examen;LVE ANGLAIS S1;G;G2-1EQ;UNIQUEMENT ETUDIANTS DISPENSES LVE ANGLAIS
714828;24/04/2017;09:00;10:00;L1;LLCE;2;Examen;UEPP  METIER PROF DES ECOLES  SAVOIRS MATHEMATIQUES FONDAMENTAUX - EC LIBRE;E;E1-1EQCL;Examen
714828;24/04/2017;09:00;10:00;L1;LLCE;6;Examen;UEPP  METIER PROF DES ECOLES  SAVOIRS MATHEMATIQUES FONDAMENTAUX - EC LIBRE;E;E1-1EQCL;Examen
714828;24/04/2017;09:00;10:00;L1;DROIT;6;Examen;UEPP  METIER PROF DES ECOLES  SAVOIRS MATHEMATIQUES FONDAMENTAUX - EC LIBRE;E;E1-1EQCL;Examen
692953;05/12/2016;16:30;19:30;L1;DROIT;5;Examen;DROIT DES SOCIETES;A;AMPHIA2;L3DROIT: ET ASSIDUS + DISPENSES
696570;07/12/2016;08:00;10:00;L1;LA;1;Examen;LV ANGLAIS S1;G;G2-1EQ;UNIQUEMENT ETUDIANTS DISPENSES LVE ANGLAIS
692890;06/12/2016;09:00;12:00;L1;LA;1;Examen;DRAMATURGIE ANTIQUE  S1;E;E1-1EQCL;DRAMATURGIE ANTIQUE S1
694800;10/04/2017;13:30;15:30;L1;LLCER;4;Examen;EXPRESSION ECRITE & CERTIFICATION VOLTAIRE - ANG;A;AMPHIA1;Examen
694048;08/12/2016;07:30;09:00;L1;INFO;1;Examen;Echelles du vivant;A;AMPHIA3;ECHELLES DU VIVANT S1 CC + ET
692900;05/12/2016;08:00;12:00;L1;LA;5;Examen;LITTERATURE GENERALE & COMPAREE S5;A;A1-1EQ-U;LITTE GENE&COMPA S5
692475;02/12/2016;08:00;11:00;L1;GESTION;5;Examen;ECONOMIE INTERNATIONALE;A;AMPHIA1;L3EG:CONTROLE CONTINU ASSIDUS ET DISPENSES-ECONOMI
693636;06/12/2016;10:30;11:30;M2;PAPC1;3;Examen;LE CONTEXTE POLYNESIEN;IUA;IUFM_REUN;ET
695666;06/12/2016;17:00;18:00;M2;PIF;3;Examen;GESTION D'ASSOCIATION (1);IUB;IUFM_B26;CC + ET
692574;08/12/2016;13:30;15:30;L1;SVT;1;Examen;Préparation au Certificat Informatique Internet (C2i);B;B2-4-TP;UNIQUEMENT DISPENSES C2i
694255;03/12/2016;09:00;11:00;L1;LLCER;5;Examen; LV MANDARIN S5;G;G2-1EQ;UNIQUEMENT DISPENSES G1-1 + G2-1 + G3-1
694255;03/12/2016;09:00;11:00;L1;LLCE;5;Examen; LV MANDARIN S5;G;G2-1EQ;UNIQUEMENT DISPENSES G1-1 + G2-1 + G3-1
694255;03/12/2016;09:00;11:00;L1;LLCE;5;Examen; LV MANDARIN S5;G;G1-1EQ;UNIQUEMENT DISPENSES G1-1 + G2-1 + G3-1
692777;29/11/2016;16:30;18:30;M2;MANAGEMENT;3;Examen;ANALYSE DE SITUATION D'ENTREPRISE;B;B1-4EQ;M2 MGMT: ET - Uniquement les dispensés
695522;06/12/2016;15:00;17:00;L1;LA;1;Examen;METHODOLOGIE DU TRAVAIL UNIVERSITAIRE ET PROJET PROFESSIONNEL;G;G2-1EQ;UNIQUEMENT DISPENSES EXAMEN MTU S1
693010;07/12/2016;10:00;12:00;M2;PAPC1;3;Examen;EDUCATION MUSICALE;IUB;IUFM_B04;ET des dispensés d'assiduitéSalle de préparation 
693656;08/12/2016;13:30;14:30;M2;P2D;3;Examen;LE CONTEXTE POLYNESIEN;IUA;IUFM_REUN;ET
693992;07/12/2016;16:00;19:00;M2;Droit des activités économiques;3;Examen;DROIT DES ASSURANCES;B;B1-5EQ;M2 DAE: ET ASSIDUS + DISPENSES - Tiers-temps - D
717586;18/04/2017;10:00;12:00;L1;GESTION;2;Examen;COMPTABILITE FINANCIERE;A;AMPHIA1;CC + ET - Tiers-temps - Durée de l'épreuve 2h40 
691975;04/01/2017;16:30;19:30;M2;Droit des activités économiques;1;Examen;POLITIQUES PUBLIQUES;E;E4-1EQCL;M1 DAE: ET ASSIDUS + DISPENSES
717722;26/04/2017;13:00;15:00;L1;LLCR;4;Examen;LVE ANGLAIS S4;G;G3-1EQCL;uniquement dispenses LVE Anglais S4
714138;05/12/2016;08:00;12:00;M2;MEEF Secondaire;1;Examen;LANGUES POLYNESIENNES. EXPRESSION ECRITE;IUA;TP1;CC2+ET
717738;21/04/2017;07:30;09:30;L1;HISTOIRE;4;Examen;Préparation au C2i;B;B2-4-TP;uniquement dispensés C2i S4
692934;05/12/2016;08:00;09:00;M2;PIF;3;Examen;LVE ANGLAIS;IUB;IUFM_B02;CC2 +ETUniquement les étudiants inscrits en sept
702158;01/12/2016;16:30;18:30;M2;MANAGEMENT;1;Examen;Analyse et gestion financière approfondie;A;AMPHIA1;M1 MGMT: CC ASSIDUS ET DISPENSES
694255;03/12/2016;09:00;11:00;L1;LLCE;1;Examen;LV MANDARIN S1;G;G1-1EQ;UNIQUEMENT DISPENSES G1-1 + G2-1 + G3-1
694241;10/12/2016;09:00;12:00;L1;DROIT;1;Examen;METHODOLOGIE DU TRAVAIL UNIVERSITAIRE;G;G2-2EQ;Uniquement les dispensés - A.POISSON
708649;05/12/2016;16:30;18:00;M2;MEEF Secondaire;1;Examen;DIDACTIQUE APPLIQUEE A LA DISCIPLINE 1 (ANGLAIS);IUB;IUFM_B26;ET dispensés d'assiduité uniquement
708622;08/12/2016;16:30;18:00;M2;Anglais;1;Examen;INITIATION A LA RECHERCHE EN ANGLAIS;IUB;IUFM_B26;CC+ET
695413;09/12/2016;09:00;11:00;L1;LLCR;3;Examen;FRANCAIS METHODOLOGIE (POUR CONCOURS);G;G3-1EQCL;Assidus et non assidus
717602;28/04/2017;13:30;15:00;L1;DROIT;4;Examen;DROIT CIVIL (les biens);A;AMPHIA1;ET -
694255;03/12/2016;09:00;11:00;L1;LLCR;5;Examen;LVE MANDARIN S5;G;G2-1EQ;UNIQUEMENT DISPENSES G1-1 + G2-1 + G3-1
708648;05/12/2016;14:30;16:00;M2;Anglais;1;Examen;EPISTEMOLOGIE ET HISTOIRE DE LA DISCIPLINE 1 (ANGLAIS);IUB;IUFM_B26;CC+ET
693456;24/11/2016;14:00;16:00;M2;EIO;3;Examen;Chimiodiversité : Méthodologie;B;B1-1;Examen
690432;01/12/2016;10:00;12:00;L1;LLCER;5;Examen;PRATIQUE DE LA LANGUE DE COMMUNICATION ORALE 5 S5;E;LABO-LV;UNIQUEMENT ETUDIANTS DISPENSES
692642;07/12/2016;07:30;09:30;L1;GESTION;1;Examen;INTRODUCTION A L ECONOMIE;A;AMPHIA1;L1EG: CONTROLE CONTINU ASSIDUS (1h) ET DISPENSES (
